Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Likes,Comments,isPopularStream,Stream
0.728,0.266,8,-7.322,0.0293,0.872,1.03E-05,0.114,0.307,115.189,199020,129052,1724,0,21450599
0.771,0.885,8,-3.66,0.0508,0.222,0,0.0918,0.826,128.031,231604,1296193,13447,1,335363489
0.494,0.674,4,-4.392,0.122,0.524,0.693,0.0696,0.566,84.006,292075,18718,460,0,67264299
0.589,0.885,4,-3.4,0.035,0.545,0,0.132,0.831,91.01,586076,12053453,1439654,0,58470533
0.761,0.41,2,-10.149,0.201,0.0207,1.14E-06,0.135,0.28,77.498,150594,55693,3194,0,4972667
0.424,0.843,11,-5.352,0.0765,0.0401,0,0.0971,0.962,203.572,151827,2963,323,0,6102890
0.612,0.724,1,-5.423,0.0477,0.186,0,0.109,0.268,137.877,252174,183194,6030,0,3251577
0.742,0.4,8,-5.754,0.0357,0.334,1.56E-05,0.105,0.705,125.854,166773,608830,8170,0,92984802
0.555,0.331,9,-17.718,0.27,0.652,1.16E-05,0.235,0.437,170.603,351400,7132,231,0,28036384
0.526,0.299,8,-13.797,0.031,0.941,0.097,0.106,0.679,156.848,200627,231365,4538,1,243456781
0.24,0.401,6,-9.98,0.0358,0.195,2.30E-05,0.502,0.288,81.423,254205,449797,17703,0,104952901
0.393,0.745,7,-3.642,0.0596,0.398,0,0.261,0.436,126.889,121676,1002,48,0,1899207
0.682,0.669,2,-4.741,0.0275,0.283,1.00E-06,0.145,0.831,81.999,271440,530457,12316,0,83494577
0.799,0.878,1,-6.204,0.0659,0.0998,0.203,0.148,0.578,162.01,134727,50445,1464,0,12255438
0.543,0.492,7,-7.432,0.156,0.0739,0,0.11,0.107,220.099,231298,2571094,120807,1,227328015
0.396,0.629,9,-4.78,0.0287,0.0328,0,0.183,0.358,173.794,252853,295529,13376,1,258091660
0.781,0.567,7,-6.736,0.16,0.666,0,0.324,0.331,117.042,201226,333401,2850,0,36302765
0.512,0.58,3,-6.658,0.029,0.621,1.72E-05,0.513,0.303,159.847,178147,331622,8129,1,151083877
0.477,0.836,0,-5.662,0.0506,0.033,3.43E-05,0.248,0.213,131.812,313098,80337,5566,0,47008895
0.567,0.383,0,-7.126,0.0399,0.75,0,0.196,0.32,73.156,217349,48485,1229,0,23680851
0.594,0.852,4,-5.652,0.0291,0.142,0,0.358,0.781,135.06,269867,32431,1630,0,18668480
0.315,0.744,2,-4.609,0.059,0.000219,0.000433,0.106,0.532,72.55,300093,106659,3534,0,70254410
0.817,0.781,7,-4.178,0.112,0.00838,5.21E-06,0.123,0.359,104,216707,791737,19073,1,303153642
0.649,0.718,1,-4.861,0.0423,0.00273,8.94E-05,0.115,0.801,109.003,184107,365398,6480,0,62180495
0.412,0.962,7,-6.813,0.0535,3.10E-05,0.00458,0.241,0.633,75.028,159160,37012,1647,0,13742339
0.3,0.956,10,-5.016,0.185,5.32E-05,0.0161,0.532,0.271,134.083,181507,200242,9048,0,32575568
0.528,0.362,9,-10.352,0.0322,0.193,0,0.794,0.305,78.801,302563,24050,973,0,17784842
0.814,0.714,4,-4.65,0.207,0.297,4.89E-06,0.091,0.789,176.013,345241,1170146,32343,1,590450716
0.704,0.811,9,-5.308,0.0277,0.355,0.000189,0.13,0.578,91.97,290493,151677,4829,0,114871335
0.791,0.738,0,-5.197,0.0732,0.406,0.00826,0.159,0.666,123.927,169911,167450,3846,0,89271022
0.599,0.543,0,-9.226,0.0302,0.0129,0.00204,0.291,0.624,91.105,272973,122298,5514,1,167843607
0.442,0.974,8,-4.327,0.348,0.0567,1.45E-06,0.12,0.283,174.003,176791,30865,1727,0,38019858
0.405,0.589,6,-7.51,0.0586,0.252,0,0.661,0.808,83.373,287227,246552,5611,0,47878385
0.659,0.454,9,-8.969,0.28,0.679,8.27E-06,0.16,0.546,166.948,303400,15442,5,0,5287674
0.738,0.675,8,-7.928,0.0303,0.0671,3.95E-06,0.126,0.567,101.966,223587,1960,134,0,2407864
0.776,0.911,2,-3.08,0.131,0.155,2.59E-06,0.268,0.56,101.027,177728,4089150,286150,1,183096937
0.656,0.699,11,-5.952,0.0346,0.274,0,0.0354,0.698,90.981,119789,23499,0,0,11350792
0.728,0.783,11,-4.424,0.266,0.237,0,0.434,0.555,77.011,173381,5229675,55516,1,1046179886
0.711,0.508,7,-7.299,0.0502,0.0355,0,0.141,0.663,98.098,217800,1667653,34832,1,324075704
0.473,0.427,7,-9.693,0.066,0.842,0,0.0839,0.694,138.655,221143,1965848,24712,0,136330084
0.336,0.62,0,-9.976,0.0406,0.0293,0,0.124,0.283,121.683,294800,723,47,0,46323865
0.633,0.964,2,-3.573,0.0298,0.158,0.0159,0.204,0.188,124.022,155963,3563,29,0,14396796
0.769,0.926,6,-1.627,0.0788,0.0127,0,0.285,0.551,100.034,195813,3923028,1187776,0,93876805
0.804,0.722,2,-6.421,0.0377,0.0328,0.00269,0.0763,0.858,140.003,299133,8762,274,0,57474754
0.524,0.503,6,-11.79,0.0245,0.184,0,0.264,0.436,89.497,447333,182548,15135,0,95887834
0.745,0.632,7,-5.105,0.154,0.72,1.34E-06,0.0747,0.838,179.985,182635,32506,599,0,5093549
0.586,0.754,1,-3.949,0.293,0.393,3.25E-05,0.104,0.676,74.638,237941,30387,1511,0,2554245
0.701,0.692,9,-4.67,0.115,0.699,0,0.177,0.688,90.193,194160,1083263,25448,0,59861732
0.817,0.721,1,-7.473,0.351,0.25,0,0.0908,0.232,142.984,111587,12,1,0,4862081
0.893,0.745,11,-3.105,0.0571,0.0642,0,0.0943,0.872,101.018,223413,4097957,105475,1,981287133
0.566,0.724,8,-6.564,0.114,0.344,0,0.174,0.843,134.962,199680,58928,0,0,20231053
0.392,0.376,0,-9.89,0.0306,0.87,0.000876,0.108,0.18,147.606,348851,4110,157,0,2591581
0.74,0.727,2,-6.253,0.278,0.187,0,0.627,0.792,101.409,186543,22407,678,1,204595220
0.756,0.811,0,-3.685,0.0836,0.0107,0,0.538,0.715,118.034,197907,101492,4943,0,64352768
0.124,0.0924,11,-31.726,0.0412,0.996,0.848,0.0935,0.135,205.999,110880,1963,69,0,74484448
0.785,0.79,10,-6.836,0.0555,0.0366,0.0223,0.0845,0.815,91.753,234107,139774,4662,0,11059910
0.792,0.462,9,-4.984,0.0815,0.552,0,0.125,0.869,113.776,185808,39607,454,0,11478394
0.573,0.984,10,-3.846,0.0653,0.000608,2.57E-06,0.0356,0.502,104.334,165173,60915,703,0,74229212
0.739,0.821,1,-4.233,0.0852,0.222,9.60E-06,0.311,0.693,171.077,188080,6234555,192424,1,666201533
0.534,0.392,9,-7.636,0.0267,0.649,0.000227,0.0948,0.163,90.379,216533,2102982,74007,1,518524112
0.284,0.637,9,-4.893,0.0486,0.0626,0,0.371,0.197,92.045,220589,70997,2579,0,28318677
0.643,0.891,9,-4.404,0.0322,0.642,0.085,0.119,0.886,95.813,213760,1829,65,0,22723621
0.659,0.865,6,-5.866,0.0257,0.136,0,0.747,0.709,106.085,251787,3873,224,0,8599084
0.877,0.56,7,-3.751,0.0596,0.00721,1.45E-06,0.0839,0.154,119.971,216136,560865,16545,0,104603335
0.747,0.32,4,-15.49,0.0848,0.224,0.89,0.0727,0.103,121.032,115392,139585,3114,0,97270923
0.679,0.645,7,-9.765,0.0442,0.032,0.868,0.152,0.826,125.844,279520,11790,58,0,44971637
0.467,0.432,7,-11.753,0.0283,0.175,0.001,0.226,0.238,142.642,271333,112424,3516,0,63204588
0.66,0.806,2,-8.01,0.0324,0.00332,1.40E-05,0.0986,0.944,122.041,253253,100171,4357,0,21979992
0.441,0.258,7,-11.227,0.0276,0.661,0,0.106,0.172,77.988,214827,139934,5887,0,84174605
0.584,0.586,7,-9.147,0.0572,0.788,0,0.131,0.34,85.027,195507,104502,1827,0,12095810
0.565,0.837,4,-4.607,0.119,0.106,0,0.37,0.775,105.067,156276,60423,1774,0,31316786
0.276,0.572,1,-7.818,0.0377,0.641,0,0.2,0.285,77.986,237467,5730,472,1,169769959
0.661,0.511,10,-9.561,0.304,0.00277,0,0.608,0.4,149.046,167627,29613,510,0,30484383
0.684,0.671,2,-6.424,0.289,0.0119,0,0.0769,0.45,179.987,171253,630849,32362,1,348184786
0.671,0.791,1,-7.352,0.215,0.0454,0.0185,0.0354,0.383,138.032,149565,611,10,0,11471926
0.753,0.777,11,-5.701,0.32,0.0725,0.000714,0.125,0.669,157.148,171453,388334,8183,0,58610527
0.789,0.858,1,-5.542,0.311,0.127,0,0.349,0.775,140.022,219333,2521768,103200,1,1054470731
0.613,0.96,5,-4.343,0.0542,0.265,0,0.24,0.669,159.98,160205,48780,928,0,47922243
0.603,0.376,1,-9.77,0.0288,0.807,0,0.108,0.538,139.995,224573,1090664,37058,1,201949875
0.73,0.684,9,-10.803,0.0351,0.259,1.53E-06,0.111,0.564,139.037,246080,413507,12454,0,79529702
0.722,0.687,0,-5.189,0.0556,0.00949,0.00413,0.0462,0.619,128.013,373627,5124,58,1,519362331
0.287,0.84,6,-3.947,0.0404,0.0551,0.0225,0.21,0.648,202.903,214373,94984,3849,0,22819772
0.627,0.851,0,-9.867,0.0726,0.105,0.0221,0.198,0.491,165.313,236290,92116,3381,0,1218878
0.466,0.55,9,-9.517,0.0437,0.141,0,0.149,0.747,109.53,217987,56715,1806,0,66359005
0.87,0.532,7,-7.101,0.0951,0.127,8.65E-05,0.112,0.358,121.986,198704,7423,322,0,13700682
0.58,0.716,11,-3.928,0.0852,0.293,0,0.129,0.509,111.897,183093,192402,1684,0,43152545
0.528,0.595,0,-10.35,0.281,0.337,0,0.389,0.36,130.396,152547,53772,3364,0,27346234
0.626,0.708,5,-7.097,0.0556,0.442,3.04E-06,0.137,0.883,168.162,185240,61514,47,0,8408498
0.835,0.679,7,-5.329,0.0364,0.583,1.98E-06,0.218,0.85,124.98,162638,2050185,31939,1,786419578
0.575,0.374,8,-2.706,0.0346,0.535,0,0.178,0.563,79.124,196099,1119536,17049,1,184693964
0.808,0.582,11,-6.26,0.338,0.827,0,0.111,0.675,77.471,148817,302536,5791,0,133126327
0.494,0.839,9,-8.79,0.0647,0.0534,0.0706,0.253,0.219,126.329,302400,431095,20947,0,66614165
0.79,0.694,9,-7.726,0.0708,0.145,0.00252,0.281,0.508,103.007,181436,228647,3347,1,375510368
0.324,0.457,2,-8.683,0.0336,0.271,2.65E-05,0.433,0.225,99.902,266640,161547,2225,0,13546386
0.367,0.847,2,-5.351,0.22,0.178,0,0.584,0.429,73.771,282353,6604141,242519,0,20320041
0.256,0.788,6,-5.263,0.0403,0.0298,0,0.707,0.429,80.718,228707,466248,18479,0,62007907
0.536,0.37,5,-9.205,0.0321,0.712,0,0.0686,0.327,79.954,267333,175375,7778,0,14393680
0.623,0.493,5,-7.727,0.0338,0.0632,0,0.104,0.594,81.019,223847,841362,15599,1,328822602
0.713,0.902,9,-3.009,0.0378,0.0493,0,0.0781,0.72,116.909,214733,175706,3101,0,83868833
0.566,0.855,7,-4.016,0.211,0.0372,0.000157,0.181,0.517,172.966,247840,3784491,131656,1,178849188
0.82,0.783,5,-6.146,0.0621,0.0158,0,0.0938,0.653,130.015,166087,4307,331,0,52426625
0.624,0.257,5,-13.341,0.0444,0.93,7.56E-05,0.138,0.681,85.617,183667,78402,5590,0,35866348
0.532,0.0657,0,-19.136,0.0406,0.94,0.00488,0.0946,0.292,128.607,201440,269046,5869,0,88007244
0.741,0.41,6,-10.28,0.319,0.201,0,0.182,0.504,140.988,121263,152787,2490,0,9706635
0.557,0.687,2,-4.721,0.0814,0.551,5.28E-05,0.0975,0.638,105.508,188093,127492,2565,0,45142720
0.513,0.648,1,-6.9,0.101,0.531,0,0.136,0.268,116.542,135385,208033,1793,0,24211182
0.732,0.801,6,-6.009,0.0363,0.0911,0.000727,0.0459,0.275,124.975,187301,1483,37,0,2756270
