Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Likes,Comments,isPopularViews,Views
0.311,0.711,6,-10.561,0.0693,0.229,0,0.0602,0.272,90.159,222240,125626,3163,0,34795778
0.194,0.179,9,-16.834,0.0422,0.988,0.866,0.0819,0.179,177.694,158667,167718,2777,0,10107157
0.463,0.4,6,-9.999,0.0308,0.643,2.46E-05,0.131,0.121,77.314,249240,297449,16162,0,50290642
0.554,0.575,9,-4.751,0.0313,0.742,0,0.105,0.609,122.515,266933,18866,1940,0,5901711
0.629,0.214,9,-11.529,0.0285,0.958,0.00183,0.098,0.296,83.882,168829,15,1,0,2280
0.355,0.919,7,-3.771,0.356,0.00234,0.000313,0.262,0.259,159.922,207141,277615,16054,0,10657200
0.781,0.464,10,-6.88,0.0443,0.334,0,0.138,0.322,100.021,215422,45422,883,0,5475528
0.84,0.488,6,-9.042,0.0391,0.00433,0.00046,0.12,0.686,98.943,238933,1339,76,0,116168
0.328,0.681,4,-6.388,0.0426,0.386,0,0.73,0.269,134.032,350867,449877,16481,0,29891003
0.6,0.501,5,-11.929,0.0484,0.452,0.00235,0.0859,0.482,124.003,180000,140332,2093,0,4251188
0.495,0.556,3,-7.49,0.041,0.638,0,0.123,0.366,159.996,225569,335129,3498,0,44000799
0.403,0.537,3,-6.628,0.031,0.59,0,0.112,0.414,69.877,202133,195320,4581,0,36446138
0.572,0.839,4,-5.083,0.0377,0.013,0.00976,0.522,0.465,143.969,196784,92025,1401,0,3565988
0.718,0.516,11,-4.953,0.147,0.0209,3.35E-06,0.283,0.337,73.739,247333,120150,2407,0,4533093
0.853,0.776,8,-4.221,0.261,0.0714,0,0.181,0.659,94.028,212013,245935,9008,0,5289821
0.279,0.0292,8,-26.804,0.0406,0.987,0.902,0.104,0.0338,136.732,293147,197984,8404,0,13097479
0.743,0.49,10,-6.857,0.0338,0.522,0,0.101,0.959,97.488,159787,14906,436,0,3919508
0.447,0.449,2,-10.634,0.0376,0.934,0.961,0.0697,0.036,92.468,315427,1276626,32926,0,55189657
0,0.00125,1,-27.592,0,0.908,1,0.111,0,0,72223,674,0,0,290014
0.685,0.768,4,-2.753,0.0336,0.0584,0,0.144,0.322,72.49,198413,552011,10815,1,121158801
0.708,0.447,1,-6.305,0.0952,0.0271,0.000728,0.102,0.0384,89.62,276968,147,2,0,4303
0.429,0.52,11,-6.508,0.0429,0.145,0,0.188,0.314,130.074,249813,641,62,0,42244
0.548,0.627,9,-8.949,0.0409,0.0471,0,0.285,0.493,143.994,255455,125800,4865,0,6685253
0.68,0.888,9,-5.308,0.055,0.0527,2.82E-06,0.0575,0.484,90.076,169587,679238,17970,1,146546503
0.804,0.736,5,-6.29,0.401,0.39,0,0.344,0.738,119.89,171625,84540,0,0,41472944
0.798,0.799,0,-6.181,0.343,0.114,3.04E-06,0.14,0.287,164.971,185725,18097,51,0,1248052
0.399,0.51,10,-3.723,0.0814,0.332,0,0.112,0.507,54.913,218283,13362,189,0,2481378
0.782,0.884,4,-2.593,0.0548,0.0757,0,0.136,0.788,99.97,199200,9389,387,0,332120
0.526,0.587,2,-8.733,0.039,0.24,0.243,0.886,0.364,93.986,264200,85893,3437,0,24415857
0.483,0.412,7,-8.461,0.0402,0.737,0,0.116,0.247,170.163,203569,4046457,76019,1,311247259
0.852,0.781,6,-7.667,0.0421,0.232,0,0.07,0.865,125.013,182267,679,15,0,64256
0.475,0.383,1,-14.202,0.0375,0.362,0.749,0.0728,0.524,114.709,408480,1155,61,0,60149
0.607,0.418,1,-6.997,0.0363,0.394,0,0.182,0.386,95.002,171200,99718,2642,0,6994393
0.524,0.515,4,-6.716,0.0372,0.524,0,0.235,0.519,81.963,242201,105119,1626,0,4380589
0.749,0.497,10,-12.609,0.105,0.41,0.0499,0.0504,0.585,95.818,438493,515119,6780,0,41869462
0.494,0.75,0,-6.86,0.0942,0.294,0,0.923,0.57,165.899,217667,128672,3058,0,19214780
0.671,0.773,8,-5.479,0.0916,0.0716,0,0.122,0.616,99.942,186520,673928,18258,0,59409506
0.892,0.607,9,-7.232,0.367,0.144,0.000314,0.0909,0.244,120,272720,158336,4845,0,12377694
